ItemCode	Brand	PartNo	Description	DLNr	ArtNr
001 02	REMSA	0001.02	REMSA ΔΙΣΚΟΦΡΕΝΑ PEUGEOT	153	0001.02
002 00	REMSA	0002.00	REMSA ΔΙΣΚΟΦΡΕΝΑ MERCEDES	153	0002.00
002 30	REMSA	0002.30	REMSA ΔΙΣΚΟΦΡΕΝΑ PORSCHE	153	0002.30
003 00	REMSA	0003.00	REMSA ΔΙΣΚΟΦΡΕΝΑ ALFA ROMEO	153	0003.00
004 00	REMSA	0004.00	REMSA ΔΙΣΚΟΦΡΕΝΑ ALFA ROMEO	153	0004.00
006 80	REMSA	0006.80	REMSA (20910 02) ΔΙΣΚΟΦΡΕΝΑ PORSCHE	153	0006.80
007 10	REMSA	0007.10	REMSA ΔΙΣΚΟΦΡΕΝΑ CITROEN		
008 00	REMSA	0008.00	REMSA ΔΙΣΚΟΦΡΕΝΑ SIMCA	153	0008.00
008 10	REMSA	0008.10	REMSA (20260 02) ΔΙΣΚΟΦΡΕΝΑ PEUGEOT	153	0008.10
008 20	REMSA	0008.20	REMSA ΔΙΣΚΟΦΡΕΝΑ AUDI		
010 20	REMSA	0010.20	REMSA (20392 04) ΔΙΣΚΟΦΡΕΝΑ MERCEDES	153	0010.20
010 40	REMSA	0010.40	REMSA (20341 10) ΔΙΣΚΟΦΡΕΝΑ MERCEDES	153	0010.40
01003	FEBI	01003	FEBI ΦΟΥΣΚΑ ΜΠΙΛΙΟΦΟΡΟΥ FORD	101	01003
01005	FEBI	01005	FEBI ΦΟΥΣΚΑ ΜΠΙΛΙΟΦΟΡΟΥ ΣΕΤ FORD	101	01005
01012	FEBI	01012	FEBI ΦΛΑΝΤΖΑ ΒΑΛΒΙΔΩΝ BMW	101	01012
01022	FEBI	01022	FEBI ΣΥΝΕΜΠΛΟΚ ΨΑΛΙΔΙΟΥ ΠΙΣΩ BMW	101	01022
01023	FEBI	01023	FEBI ΣΥΝΕΜΠΛΟΚ ΨΑΛΙΔΙΟΥ BMW	101	01023
01026	FEBI	01026	FEBI ΣΥΝΕΜΠΛΟΚ MAN	101	01026
