ItemCode	Brand	PartNo	Description	DLNr	ArtNr
002-201109	ASHIKA	002-201109	ΓΕΝΝΗΤΡΙΑ 12V CHEVROLET KALOS,MATIZ 02-  ASHIKA	257	002-201109
002-C390	ASHIKA	002-C390	ΓΕΝΝΗΤΡΙΑ 12V HYUNDAI ATOS,GETZ,I10-KIA PICANTO 01-  ASHIKA	257	002-C390
002-C977	ASHIKA	002-C977	ΓΕΝΝΗΤΡΙΑ 12V HYUNDAI ATOS & PRIME 1.0 98-  ASHIKA	257	002-C977
002-T529	ASHIKA	002-T529	ΓΕΝΝΗΤΡΙΑ 12V TOYOTA HILUX II PICK-UP 2.4 TD -02  ASHIKA	257	002-T529
003-D211	ASHIKA	003-D211	ΜΙΖΑ ΜΗΧ. NISSAN MICRA (K11,K12),NOTE 92-  ASHIKA	257	003-D211
01.050*0270	CONTITECH	01.050*0270	ΙΜΑΝΤΕΣ  05 * 270  ΑΠΛΟ  CONTI		
01.050*0300	CONTITECH	01.050*0300	ΙΜΑΝΤΕΣ  05 * 300  ΑΠΛΟ  CONTI		
01.050*0315	CONTITECH	01.050*0315	ΙΜΑΝΤΕΣ  05 * 315  ΑΠΛΟ  CONTI		
01.050*0322	CONTITECH	01.050*0322	ΙΜΑΝΤΕΣ  05 * 322  ΑΠΛΟ  CONTI		
01.050*0330	CONTITECH	01.050*0330	ΙΜΑΝΤΕΣ  05 * 330  ΑΠΛΟ  CONTI		
01.050*0335	CONTITECH	01.050*0335	ΙΜΑΝΤΕΣ  05 * 335  ΑΠΛΟ  CONTI		
01.050*0340	CONTITECH	01.050*0340	ΙΜΑΝΤΕΣ  05 * 340  ΑΠΛΟ  CONTI		
01.050*0345	CONTITECH	01.050*0345	ΙΜΑΝΤΕΣ  05 * 345  ΑΠΛΟ  CONTI		
01.050*0350	CONTITECH	01.050*0350	ΙΜΑΝΤΕΣ  05 * 350  ΑΠΛΟ  CONTI		
01.050*0375	CONTITECH	01.050*0375	ΙΜΑΝΤΕΣ  05 * 375  ΑΠΛΟ  CONTI		
01.050*0400	CONTITECH	01.050*0400	ΙΜΑΝΤΕΣ  05 * 400  ΑΠΛΟ  CONTI		
01.050*0425	CONTITECH	01.050*0425	ΙΜΑΝΤΕΣ  05 * 425  ΑΠΛΟ  CONTI		
01.050*0450	CONTITECH	01.050*0450	ΙΜΑΝΤΕΣ  05 * 450  ΑΠΛΟ  CONTI		
01.050*0475	CONTITECH	01.050*0475	ΙΜΑΝΤΕΣ  05 * 475  ΑΠΛΟ  CONTI		
01.050*0514	CONTITECH	01.050*0514	ΙΜΑΝΤΕΣ  05 * 514  ΑΠΛΟ  CONTI		
01.050*0530	CONTITECH	01.050*0530	ΙΜΑΝΤΕΣ  05 * 530  ΑΠΛΟ  CONTI		
01.050*0560	CONTITECH	01.050*0560	ΙΜΑΝΤΕΣ  05 * 560  ΑΠΛΟ  CONTI		
01.050*0600	CONTITECH	01.050*0600	ΙΜΑΝΤΕΣ  05 * 600  ΑΠΛΟ  CONTI		
01.060*0240	CONTITECH	01.060*0240	ΙΜΑΝΤΕΣ  06 * 240  ΑΠΛΟ  CONTI		
01.060*0250	CONTITECH	01.060*0250	ΙΜΑΝΤΕΣ  06 * 250  ΑΠΛΟ  CONTI		
01.060*0260	CONTITECH	01.060*0260	ΙΜΑΝΤΕΣ  06 * 260  AΠΛΟ  CONTI		
01.060*0270	CONTITECH	01.060*0270	ΙΜΑΝΤΕΣ  06 * 270  ΑΠΛΟ  CONTI		
01.060*0280	CONTITECH	01.060*0280	ΙΜΑΝΤΕΣ  06 * 280  ΑΠΛΟ  CONTI		
01.060*0300	CONTITECH	01.060*0300	ΙΜΑΝΤΕΣ  06 * 300  ΑΠΛΟ  CONTI		
01.060*0315	CONTITECH	01.060*0315	ΙΜΑΝΤΕΣ  06 * 315  ΑΠΛΟ  CONTI		
01.060*0335	CONTITECH	01.060*0335	ΙΜΑΝΤΕΣ  06 * 335  ΑΠΛΟ  CONTI		
01.060*0375	CONTITECH	01.060*0375	ΙΜΑΝΤΕΣ  06 * 375  ΑΠΛΟ  CONTI		
01.060*0400	CONTITECH	01.060*0400	ΙΜΑΝΤΕΣ  06 * 400  ΑΠΛΟ  CONTI		
01.060*0425	CONTITECH	01.060*0425	ΙΜΑΝΤΕΣ  06 * 425  ΑΠΛΟ  CONTI		
01.060*0450	CONTITECH	01.060*0450	ΙΜΑΝΤΕΣ  06 * 450  ΑΠΛΟ  CONTI		
01.060*0500	CONTITECH	01.060*0500	ΙΜΑΝΤΕΣ  06 * 500  ΑΠΛΟ  CONTΙ		
01.060*0530	CONTITECH	01.060*0530	ΙΜΑΝΤΕΣ  06 * 530  ΑΠΛΟ  CONTΙ		
01.060*0540	CONTITECH	01.060*0540	ΙΜΑΝΤΕΣ  06 * 540  ΑΠΛΟ  CONTΙ		
01.060*0550	CONTITECH	01.060*0550	ΙΜΑΝΤΕΣ  06 * 550  ΑΠΛΟ  CONTΙ		
