ItemCode	Brand	PartNo	Description	DLNr	ArtNr
002311235A	OE	002311235A	ΡΟΥΛΕΜΑΝ VAG 25-65-18 2RSNR SP		
002311373	OE	002311373B	ΡΟΥΛΕΜΑΝ ΣΑΝΖΜΑΝ (VAG) 25-47-17 N		
002311965A	OE	002311965A	ΡΟΥΛΕΜΑΝ ΣΑΝΖΜΑΝ VAG 25-62-17 2RS SP		
02872/020	KOYO	02872/020	ΡΟΥΛΕΜΑΝ ΚΩΝΙΚΟ		
02A311115E	OE	02A311115E	ΡΟΥΛΕΜΑΝ VAG 29-40-24		
02M311235A	OE	02M311235A	ΡΟΥΛΕΜΑΝ VAG 30-72/77.3-22.3/24N		
02T141165A	OE	02T141165A	ΡΟΥΛΕΜΑΝ VAG		
02T311373J/L	INA	02T311373J	ΡΟΥΛΕΜΑΝ VAG 32-55-18 NK-N	204	712 1311 10
02T311375E/K	INA	02T311375E/K	ΡΟΥΛΕΜΑΝ VAG (F-232349) 29-47-16.6 N	204	712 1147 10
02U311122B	OE	02U311122B	ΡΟΥΛΕΜΑΝ VAG 17-35-18		
02Z311375A	OE	02Z311375A	ΡΟΥΛΕΜΑΝ VAG 28.8-48/51.5-18/16	204	712 1445 10
0312510S	OE	0312510S	ΒΑΣΗ ΜΕ ΡΟΥΛΕΜΑΝ (OPEL)	101	26929
0344511S	SWAG	0344511S	ΒΑΣΗ ΑΜΟΡΤΙΣΕΡ	151	40 55 0001
040005B	BENDIX WBK	040005B	ΣΙΝΕΜΠΛΟΚ	49	040005B
040027B	BENDIX WBK	040027B	ΣΙΝΕΜΠΛΟΚ ΨΑΛΙΔΙΟΥ	49	040027B
040028B	BENDIX WBK	040028B	ΡΑΒΔΟΣ ΣΤΡΕΨΗΣ - ΑΚΡΑ ΖΑΜΦΟΡ	49	040028B
040029B	BENDIX WBK	040029B	ΡΑΒΔΟΣ ΣΤΡΕΨΗΣ - ΑΚΡΑ ΖΑΜΦΟΡ	129	F8-4051
040062B	BENDIX WBK	040062B	ΣΕΤ ΡΑΒΔΟΥ ΣΤΡΕΨΗΣ	129	F8-5087
040066B	BENDIX WBK	040066B	ΣΙΝΕΜΠΛΟΚ ΨΑΛΙΔΙΟΥ -ΕΜΠΡΟΣ	129	F8-5105
040087B	BENDIX WBK	040087B	ΣΙΝΕΜΠΛΟΚ ΨΑΛΙΔΙΟΥ	129	F8-5201
040094B	BENDIX WBK	040094B	ΣΙΝΕΜΠΛΟΚ	129	F8-5248
040098B	BENDIX WBK	040098B	ΣΙΝΕΜΠΛΟΚ	129	F8-5253
040113B	BENDIX WBK	040113B	ΣΙΝΕΜΠΛΟΚ ΨΑΛΙΔΙΟΥ	129	F8-5280
040114B	BENDIX WBK	040114B	ΣΙΝΕΜΠΛΟΚ ΨΑΛΙΔΙΟΥ	129	F8-5281
040129B	BENDIX WBK	040129B	ΣΙΝΕΜΠΛΟΚ ΨΑΛΙΔΙΟΥ	129	F8-5298
